id,SAMPLE_ID
1,1
2,26
3,2
4,7
5,43
6,5
7,24
8,4
9,2
10,3
11,21
12,9
13,3
14,1
15,6
16,0
17,8
18,7
19,8
20,5
21,5
22,2
23,12
24,1
25,0
26,5
27,1
28,0
29,6
30,10
31,10
32,18
33,5
34,0
35,1
36,3
37,1
38,1
39,36
40,16
41,7
42,20
43,10
44,34
45,4
46,3
47,21
48,1
49,3
50,7
51,7
52,19
53,5
54,3
55,20
56,13
57,4
58,10
59,11
60,7
61,11
62,0
63,5
64,34
65,42
66,4
67,1
68,0
69,2
70,16
71,7
72,4
73,1
74,3
75,5
76,11
77,6
78,3
79,2
80,0
81,4
82,1
83,9
84,10
85,10
86,7
87,13
88,39
89,15
90,5
91,13
92,9
93,7
94,0
95,15
96,24
97,7
98,25
99,18
100,9
101,24
102,37
103,3
104,1
105,2
106,0
107,0
108,1
109,1
110,15
111,11
112,35
113,9
114,12
115,3
116,0
117,1
118,4
119,14
120,4
121,9
122,6
123,8
124,3
125,4
126,7
127,4
128,3
129,8
130,11
131,14
132,5
133,0
134,4
135,36
136,5
137,7
138,1
139,20
140,0
141,2
142,4
143,17
144,3
145,6
146,9
147,14
148,17
149,18
150,7
151,3
152,2
153,12
154,24
155,2
156,4
157,3
158,14
159,9
160,3
161,2
162,3
163,1
164,11
165,3
166,0
167,1
168,5
169,13
170,0
171,4
172,4
173,4
174,36
175,11
176,2
177,3
178,2
179,2
180,3
181,1
182,15
183,13
184,1
185,21
186,17
187,10
188,4
189,5
190,1
191,7
192,14
193,2
194,9
195,6
196,7
197,0
198,0
199,2
200,1
201,11
202,4
203,0
204,0
205,1
206,8
207,11
208,18
209,11
210,3
211,9
212,0
213,4
214,1
215,17
216,7
217,12
218,3
219,9
220,3
221,5
222,5
223,6
224,4
225,6
226,2
227,7
228,30
229,22
230,10
231,3
232,1
233,14
234,4
235,4
236,8
237,58
238,1
239,6
240,11
241,24
242,14
243,0
244,11
245,11
246,33
247,21
248,30
249,30
250,18
251,13
252,17
253,3
254,2
255,2
256,5
257,3
258,4
259,2
260,0
261,3
262,7
263,6
264,6
265,2
266,8
267,0
268,2
269,7
270,9
271,15
272,2
273,0
274,5
275,2
276,1
277,4
278,3
279,7
280,4
281,10
282,4
283,6
284,10
285,0
286,0
287,1
288,12
289,0
290,2
291,0
292,2
293,1
294,0
295,0
296,2
297,2
298,7
299,6
300,4
301,10
302,5
303,5
304,15
305,11
306,4
307,4
308,38
309,1
310,27
311,10
312,8
313,17
314,5
315,20
316,10
317,11
318,6
319,2
320,1
321,11
322,6
323,1
324,4
325,5
326,30
327,4
328,5
329,2
330,29
331,9
332,8
333,24
334,3
335,10
336,11
337,3
338,3
339,4
340,6
341,30
342,6
343,1
344,0
345,4
346,0
347,19
348,4
349,4
350,3
351,8
352,1
353,1
354,6
355,17
356,17
357,6
358,7
359,5
360,0
361,0
362,5
363,1
364,1
365,9
366,8
367,11
368,0
369,0
370,3
371,18
372,10
373,3
374,0
375,5
376,8
377,7
378,6
379,3
380,9
381,1
382,4
383,2
384,11
385,3
386,0
387,0
388,7
389,14
390,18
391,4
392,57
393,5
394,4
395,98
396,77
397,7
398,3
399,1
400,5
401,8
402,4
403,3
404,6
405,12
406,2
407,7
408,10
409,6
410,9
411,6
412,2
413,1
414,21
415,16
416,4
417,0
418,9
419,9
420,54
421,3
422,3
423,14
424,2
425,11
426,16
427,9
428,4
429,4
430,19
431,16
432,4
433,6
434,8
435,15
436,25
437,0
438,0
439,0
440,0
441,2
442,2
443,0
444,14
445,4
446,1
447,0
448,1
449,3
450,2
451,3
452,3
453,0
454,2
455,9
456,15
457,2
458,2
459,0
460,0
461,48
462,18
463,10
464,13
465,33
466,3
467,9
468,1
469,0
470,2
471,2
472,5
473,30
474,0
475,1
476,25
477,3
478,1
479,0
480,7
481,8
482,2
483,12
484,14
485,21
486,7
487,39
488,60
489,23
490,0
491,0
492,3
493,2
494,3
495,0
496,0
497,1
498,3
499,7
500,25
501,4
502,5
503,36
504,55
505,9
506,6
507,18
508,5
509,0
510,0
511,0
512,0
513,3
514,6
515,5
516,9
517,40
518,5
519,1
520,9
521,2
522,0
523,14
524,30
525,24
526,14
527,6
528,5
529,6
530,12
531,3
532,8
533,7
534,3
535,22
536,1
537,4
538,10
539,4
540,7
541,7
542,7
543,4
544,2
545,5
546,12
547,8
548,2
549,6
550,0
551,1
552,7
553,10
554,2
555,3
556,3
557,9
558,3
559,4
560,1
561,12
562,3
563,6
564,18
565,1
566,15
567,2
568,2
569,7
570,8
571,15
572,1
573,0
574,1
575,7
576,9
577,20
578,10
579,3
580,12
581,16
582,4
583,10
584,5
585,1
586,10
587,13
588,3
589,1
590,19
591,13
592,15
593,6
594,2
595,0
596,4
597,16
598,1
599,5
600,1
601,0
602,12
603,17
604,7
605,6
606,10
607,5
608,8
609,5
610,0
611,1
612,2
613,16
614,10
615,9
616,1
617,0
618,0
619,9
620,17
621,7
622,3
623,6
624,22
625,5
626,6
627,5
628,0
629,4
630,2
631,8
632,35
633,34
634,6
635,3
636,13
637,8
638,9
639,13
640,0
641,2
642,1
643,1
644,0
645,3
646,0
647,7
648,27
649,33
650,3
651,5
652,9
653,1
654,1
655,0
656,1
657,6
658,7
659,0
660,3
661,7
662,7
663,17
664,7
665,15
666,12
667,14
668,13
669,3
670,7
671,0
672,0
673,1
674,11
675,8
676,2
677,4
678,3
679,5
680,0
681,1
682,4
683,1
684,2
685,15
686,1
687,2
688,2
689,102
690,6
691,2
692,11
693,15
694,7
695,10
696,20
697,20
698,12
699,6
700,1
701,0
702,2
703,3
