id,SAMPLE_ID
1,0
2,17
3,0
4,7
5,45
6,3
7,43
8,4
9,0
10,2
11,44
12,9
13,5
14,6
15,8
16,1
17,11
18,10
19,8
20,14
21,8
22,1
23,15
24,3
25,5
26,12
27,1
28,0
29,14
30,26
31,6
32,30
33,4
34,2
35,1
36,5
37,3
38,7
39,57
40,18
41,5
42,29
43,6
44,49
45,7
46,2
47,23
48,5
49,4
50,9
51,6
52,16
53,1
54,14
55,20
56,27
57,16
58,15
59,14
60,16
61,11
62,2
63,8
64,73
65,51
66,5
67,0
68,1
69,0
70,12
71,18
72,9
73,0
74,4
75,13
76,18
77,9
78,6
79,1
80,0
81,3
82,4
83,18
84,11
85,20
86,4
87,16
88,41
89,12
90,14
91,12
92,9
93,13
94,0
95,19
96,50
97,10
98,24
99,5
100,5
101,47
102,34
103,0
104,4
105,4
106,0
107,0
108,0
109,3
110,12
111,18
112,13
113,2
114,15
115,4
116,2
117,0
118,10
119,34
120,4
121,9
122,7
123,12
124,0
125,3
126,12
127,6
128,3
129,11
130,8
131,12
132,1
133,10
134,3
135,24
136,8
137,6
138,2
139,24
140,0
141,5
142,7
143,16
144,1
145,4
146,26
147,9
148,28
149,13
150,7
151,2
152,16
153,12
154,17
155,0
156,10
157,1
158,21
159,7
160,0
161,2
162,3
163,0
164,7
165,3
166,2
167,1
168,2
169,26
170,1
171,5
172,3
173,3
174,22
175,19
176,0
177,0
178,6
179,0
180,5
181,2
182,27
183,11
184,8
185,6
186,19
187,19
188,3
189,7
190,3
191,9
192,6
193,0
194,3
195,4
196,7
197,0
198,0
199,0
200,2
201,3
202,6
203,2
204,0
205,4
206,7
207,5
208,21
209,10
210,16
211,14
212,0
213,9
214,0
215,15
216,5
217,17
218,2
219,11
220,8
221,6
222,6
223,8
224,19
225,5
226,3
227,9
228,33
229,37
230,10
231,6
232,1
233,11
234,7
235,3
236,24
237,43
238,5
239,5
240,18
241,26
242,17
243,0
244,9
245,16
246,37
247,16
248,56
249,28
250,11
251,5
252,24
253,4
254,2
255,3
256,0
257,9
258,6
259,5
260,0
261,6
262,17
263,17
