id,SAMPLE_ID
1,0
2,24
3,0
4,2
5,48
6,1
7,34
8,5
9,0
10,4
11,51
12,7
13,4
14,10
15,13
16,2
17,2
18,7
19,8
20,12
21,8
22,0
23,15
24,3
25,8
26,14
27,2
28,0
29,7
30,20
31,1
32,32
33,4
34,6
35,2
36,5
37,2
38,6
39,73
40,11
41,5
42,45
43,8
44,57
45,8
46,1
47,17
48,7
49,8
50,5
51,10
52,28
53,0
54,9
55,21
56,16
57,15
58,16
59,7
60,14
61,15
62,4
63,10
64,73
65,48
66,6
67,1
68,1
69,0
70,11
71,7
72,6
73,0
74,5
75,7
76,15
77,2
78,7
79,2
80,0
81,2
82,1
83,15
84,6
85,13
86,3
87,14
88,46
89,11
90,9
91,14
92,10
93,11
94,0
95,15
96,46
97,7
98,22
99,10
100,7
101,47
102,36
103,0
104,4
105,5
106,0
107,2
108,1
109,4
110,13
111,21
112,18
113,6
114,17
115,10
116,3
117,1
118,4
119,29
120,3
121,2
122,11
123,6
124,0
125,0
126,13
127,9
128,2
129,14
130,4
131,18
132,2
133,8
134,2
135,31
136,12
137,8
138,3
139,21
140,0
141,8
142,2
143,15
144,3
145,6
146,23
147,13
148,25
149,16
150,11
151,6
152,8
153,9
154,29
155,3
156,4
157,1
158,24
159,10
160,1
161,1
162,9
163,2
164,6
165,6
166,5
167,1
168,2
169,22
170,2
171,3
172,4
173,5
174,18
175,16
176,1
177,5
178,7
179,5
180,1
181,0
182,25
183,9
184,15
185,6
186,11
187,15
188,3
189,6
190,0
191,11
192,10
193,1
194,4
195,0
196,7
197,0
198,0
199,1
200,4
201,9
202,0
203,2
204,0
205,4
206,10
207,9
208,22
209,13
210,6
211,13
212,0
213,9
214,0
215,16
216,9
217,22
218,2
219,12
220,13
221,10
222,13
223,2
224,14
225,3
226,0
227,2
228,26
229,27
230,11
231,5
232,1
233,20
234,1
235,3
236,19
237,37
238,7
239,3
240,26
241,35
242,20
243,0
244,19
245,14
246,37
247,12
248,51
249,44
250,15
251,5
252,24
253,1
254,1
255,4
256,5
257,2
258,7
259,5
260,2
261,7
262,11
263,12
264,4
265,3
266,1
267,2
268,3
269,8
270,3
271,21
272,7
273,4
274,9
275,4
276,0
277,13
278,6
279,7
280,2
281,15
282,5
283,4
284,15
285,2
286,0
287,11
288,8
289,6
290,5
291,4
292,1
293,2
294,5
295,1
296,3
297,6
298,13
299,10
300,18
301,16
302,9
303,9
304,15
305,16
306,6
307,7
308,48
309,2
310,13
311,10
312,9
313,43
314,10
315,21
316,13
317,9
318,2
319,1
320,5
321,13
322,5
323,1
324,0
325,5
326,42
327,0
328,4
329,5
330,46
331,6
332,5
333,35
334,5
335,18
336,24
337,0
338,8
339,2
340,3
341,21
342,16
343,2
344,1
345,0
346,6
347,30
348,6
349,6
350,4
351,10
352,1
353,6
354,5
355,12
356,32
357,9
358,5
359,7
360,0
361,0
362,5
363,7
364,0
365,8
366,11
367,16
368,0
369,0
370,1
371,34
372,19
373,1
374,0
375,7
376,15
377,16
378,13
379,11
380,16
381,3
382,3
383,4
384,12
385,5
386,0
387,1
388,14
389,12
390,19
391,16
392,58
393,2
394,13
395,135
396,59
397,10
398,0
399,5
400,15
401,5
402,6
403,14
404,0
405,12
406,5
407,5
408,13
409,5
410,11
411,2
412,3
413,3
414,16
415,16
416,4
417,0
418,10
419,10
420,68
421,7
422,31
423,10
424,0
425,13
426,18
427,14
428,6
429,3
430,12
431,8
432,11
433,7
434,25
435,8
436,7
437,2
438,1
439,2
440,3
441,8
442,3
443,1
444,21
445,3
446,1
447,2
448,9
449,2
450,4
451,1
452,3
453,0
454,6
455,11
456,22
457,1
458,3
459,0
460,0
461,52
462,14
463,11
464,27
465,42
466,11
467,14
468,0
469,0
470,0
471,1
472,26
473,23
474,2
475,1
476,19
477,7
478,5
479,2
480,11
481,6
